class,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
forest,8286.61,7526.56,8286.61,8135.25,7783.56,7535.37,2814.91,5563.8,7879.28,7107.94,5246.97,1875.86,6585.22,5270.07,7091.89,3596.16,634.134,2204,8109.96,1195.07,4361.45,6032.94,3819.81,800.086,1207.85,7383.13,1736.73,1175.48
forest,7975.19,7919.24,7007.91,1681.32,5485.42,5800.83,6030.65,332.042,7050.19,6750.82,7438.41,7440.7,7975.19,7296.55,6630.07,7396.35,827.672,3916.96,7916.6,6548.77,2654.95,2491.16,3679.4,6056.14,6659.68,7017.06,2602.37,4982.63
forest,8322.37,6955.38,8322.37,8190.21,7439.28,2039.05,7453.89,540.658,6131.48,7819.97,7356.33,977.276,8305.46,6017.61,2440.43,5458.05,519.317,4665.48,7957.12,5001.23,4293.33,3279.92,2802.09,1518.64,1162.22,7252.55,1366.93,1700.15
forest,8136.03,1507.89,8136.03,6662.58,1290.77,822.574,8116.22,5139.47,4041.74,7754.16,5376.05,1041.32,554.914,980.919,6253.21,2697.78,602.877,5130.63,6634.19,5693.04,4554.47,694.809,6535.57,787.594,727.815,7813.35,3843.85,1248.25
forest,8134.78,7543.62,7662.73,7286.1,6122.41,4814.57,5920.83,846.79,6615.58,6771.85,6518.79,1371.33,7948.79,7540.91,8134.78,7488.02,908.613,3579.32,4992.73,5406.93,3353.32,1455.93,3563.21,1551.95,1128.85,5903.5,4563.13,2445.44
forest,8002.18,6621.11,6970.75,825.262,5734.99,5961.57,5850.79,6198.21,7085.68,7254.29,7454.12,422.21,7690.6,6963.04,8002.18,7057.1,478.028,2810.96,7092.85,816.087,981.314,4448.9,5795.58,2870.81,6396.41,6870.38,6885.71,668.701
forest,8249,6481.43,8081.62,7836.56,7079.62,4552.49,7133.41,7021.05,5953.25,7842.01,8090.46,2756.91,8249,737.921,7412.72,7396.83,557.771,2622.75,5989.93,1693.41,2930.21,2823.14,4058.02,930.652,628.486,7485.45,7790.24,5904.96
forest,8296.85,7729.74,8288.23,6196.43,7891.84,7883.85,7963.07,1533.69,4089.09,7888.26,8049.36,3122.7,8296.85,6836.29,8130.12,1512.85,1154.51,3301.19,7732.42,3373.4,3624.47,1099.09,1516.14,4651.44,2853.92,7852.69,7117.09,700.9
forest,7980.56,6297.84,7655.33,960.574,7462.23,7584.71,7818.44,6821.89,7924.99,7870.97,7980.56,2783.12,5208.18,5546.24,6976.54,6627.51,1002.71,2867.93,7807.37,908.977,2829.35,320.71,7568.35,1293.66,2571.17,7928.96,7948.45,1746.81
forest,8391.03,7804.46,8112.79,3321.91,7192.28,6516.53,7100.89,718.944,6669.52,7582.26,4662.44,1169.83,8166.05,3760.68,8391.03,2116.71,650.649,4295.37,7165.66,5163.58,2925.68,1842.82,4211.24,1101.77,1535.38,7326.6,7102.81,1685.79
forest,8299.01,1104.83,8299.01,5730.29,4501.8,6903.78,8073.73,4870.32,7969.23,7709.51,3900.84,940.658,999.085,1336.49,8222.33,7384.89,387.199,1512.11,7372.05,5405.21,4640.66,375.667,4906.24,1565.54,5411.1,7639.85,970.578,1455.33
forest,8110.45,7135.04,8110.45,6408.59,3489.71,4410.32,2661.38,4520.23,6107.29,6536.87,5998.77,802.949,7471.46,6593.54,7111.71,4455.11,433.457,4645.1,7907.15,6511.59,4192.53,625.719,689.482,945.096,6765.54,6492.45,1283.61,1134.76
forest,7912.48,3550.3,7655.93,1096.29,7133.2,7206.46,7256.48,6699.9,7338.85,6924.02,6978.11,421.41,7469.78,4685.31,7771.95,3209.43,748.659,1197.98,7912.48,442.478,1004.31,479.626,4018.37,7069.69,4922.35,7028.9,6498.83,2239.86
forest,8228.86,3535.15,8228.86,2392.09,7250.89,7212.59,7266.03,545.94,7481.57,7294.8,7089.62,3663.13,7241.91,6806.79,7437.79,4938.38,514.841,3958.19,8162.96,5426.88,3193.41,471.255,1183.06,2370.47,1891.84,7246.06,7049.78,2527.03
forest,7809.93,7539.15,7792.63,4366.1,6735.51,4962.88,3114.18,797.306,4801.91,6740.67,7463.65,1184.33,5576.74,720.501,6617.29,2733.15,621.42,2441.72,7809.93,223.046,4033.45,2776.5,4877.37,1348.1,3061.89,6388.23,5780.58,499.318
forest,7683.38,7683.38,7359.82,3146.87,6863.65,6989.26,6649.31,6539.44,6720.27,4058.92,4433.15,4984.47,4111.93,1043.91,5259.99,2339.09,475.818,2739.19,7567.92,4090.96,3038.68,495.298,996.351,817.817,506.163,6198.87,3340.79,3703.35
forest,7650.34,7612.8,6519.91,1451.83,5190.16,5559.5,6014.82,3286.03,3159.93,6741.82,6708.94,1801.37,1992.88,5366.4,6806.78,1115,543.405,4371.7,7650.34,4236.24,3611.3,1206.23,5245.9,945.932,1930.86,5746.24,6091.97,4659.58
forest,8402.95,4765.94,8402.95,6277.43,1429.69,2509.01,2452.88,7667.42,8084.89,7927.17,8023.86,659.438,8139.08,4980.96,1890.31,7619.58,377.259,4323.1,8235.32,3827.08,4786.69,3028,7752.82,858.768,5392.9,7946.75,2090.87,573.543
forest,8203.13,5650.16,8203.13,8171.82,1025.21,753.119,8166.99,1283.23,7584.8,7171.45,3600,1129.31,1384.72,2553.46,6095.13,4302.12,617.052,4580.66,7543.91,6074.39,5099.56,2773.45,7979.47,829.75,892.725,7128.68,6319.33,4470.16
forest,8191.93,7335.92,6551.61,991.468,6542.02,5523.89,1220.71,6989.11,7761.2,7746.08,7747.58,445.712,1204.23,3854.3,8191.93,3566.07,661.222,5419.78,7912.13,6261.36,1091.74,5646.4,6369.88,3808.84,4249.36,7498.04,4947.27,599.673
forest,8223.36,1639.26,7956.43,4956.04,3138.78,2459.2,4566.48,7500.45,7240.86,7888.93,7939.33,931.367,8223.36,7362.29,6890.1,1794.05,400.419,5301.61,8111.62,872.242,3864.49,702.592,7513.92,1255.36,5193.34,7556.94,874.972,905.886
forest,7953.7,6567.24,7491.75,7480.95,5663.95,7325.54,6033.95,1305.49,3466.42,2138.97,7472.89,984.278,7953.7,7087.2,2774.18,4778.37,1566.88,2821.91,5349.39,6504.78,3325.23,339.418,984.853,3449.02,3538.79,7589.27,6121.89,1875.83
forest,7138.56,6972.55,6399.19,1659.12,2141.04,5519.75,6018.24,3195.52,6320.46,6607.5,6662.44,343.349,7116.41,817.705,2407,3549.3,677.191,4366.89,7138.56,1077.34,986.97,975.824,3672.2,5991.7,603.651,5987.5,3291.7,2511.44
forest,8024.61,7798.09,3192.7,6189.67,7052.53,6601.59,6845.82,4563.62,1092.08,5261.19,7547.31,1798.69,8024.61,7176.82,7371.42,1284.1,461.131,3310.75,7965.01,5239.14,3045.91,660.544,6441.35,3113.09,6853.95,6991.3,5498.67,5377.2
forest,8259.73,1632.23,5544.18,579.333,1540.55,7087.59,5336.29,7355.45,7954.22,7937.99,5872.02,654.661,7169.54,5061.56,8259.73,7657.4,465.158,2062.07,8067.78,2956.55,4296.82,6096.74,6830.94,926.552,7599.39,7764.33,7825.5,536.766
forest,8369.62,6119.97,8369.62,8283.97,6283.55,2614.17,4834.1,7317.96,8121.43,8156.01,2887.79,1801.15,7443.77,5300.19,6737.67,4723.76,511.113,3429.38,8216.48,5809.95,5215.79,2641.15,5717.97,1093.77,389.579,8141.97,3440.53,4710.94
forest,8130.27,7274.12,7977.27,7904.03,7417.44,7382.53,7580.86,2342.87,7773.14,7644.45,3753.52,1099.13,8130.27,864.18,2729.92,741.413,480.764,4436.52,7890.35,1431.64,4708.28,3105.23,4951.97,936.526,4062.71,7188.26,1018.66,4786.33
forest,7781.7,4710.72,7341.85,574.989,2662.66,5726.68,4464.92,6167.94,7326.44,7424.22,7781.7,680.104,1807.4,5563.05,7685.38,7609.33,529.343,3838.01,6628.65,6418.01,4535.09,1087.47,1130.16,622.278,574.284,7246.78,700.413,882.029
forest,8170.73,4302.74,7883.25,5038.81,4027.95,5129.76,7676.18,3036.57,4970.4,5683.78,6740.87,1979.76,1808.56,601.02,8170.73,2225.05,377.321,3496.02,7386.42,1320.22,5006.69,530.909,4912.65,917.19,3184.8,7481.96,5001.83,1268.63
forest,7939.28,7606.57,7699.22,3667.6,7169.35,2879.06,3847.72,6433.09,5439.56,5107.8,6146.56,1568.04,5557.45,4450.16,7835.97,1016.63,471.35,1975.66,7939.28,350.97,4188.2,2944.29,1103.17,942.443,1764.86,6988.64,836.433,628.722
forest,7548.53,6912.89,6572.26,2497.12,5748.93,5845.12,5303.8,1239.84,4381.01,2934.43,6746.98,2852.87,4879.02,5048.13,7548.53,2397.47,646.12,4848.31,7373.96,1084.63,1560.62,3695.46,634.859,1335.74,792.525,5761.41,1371.39,769.912
forest,7782.06,4082.88,7782.06,5335.51,6877.95,6815.38,6916.34,4794.92,5580.13,5619.74,7063.36,2229.7,2378.28,4511.29,2713.87,2662.65,668.228,885.089,7323.07,250.913,2518.65,649.409,2467.95,4394.85,820.737,6697.33,6843.6,1510.61
forest,8036.87,2478.76,7176.06,5936.02,6986.75,7108.84,7405.53,3794.01,7361.14,7473.38,6677.6,467.644,7783.1,5903.28,8036.87,6057.6,517.461,4551.32,7523.07,5796.77,2339.92,5726.53,5942.3,1390.56,6778.71,6997.05,4648.18,624.987
forest,8032.26,7475.4,7410.96,5002.61,7112.89,7071.06,7483.63,7198.35,7586.23,7622.73,7513.47,495.442,6542.97,2868.82,8032.26,3025.95,726.661,5317.31,5486.74,6401.55,3473.55,6246.83,4638.78,1101.12,7011.58,7449.89,7611.62,684.616
forest,7846.2,6232.67,7157.05,5552.8,5180.16,2092.5,5903.05,823.348,3949.88,7183.08,2442.8,874.215,7469.94,6908.6,7846.2,7111.37,529.871,3547.43,7009.15,5607.14,3041.09,628.116,3224.76,1618.04,4439.44,5937.07,1261.93,1101.27
forest,8166.23,1795.69,8166.23,6587.41,7653.61,7853.51,7871.12,5740.74,7422.15,7092.96,7171.76,1079.12,6728.75,2640.35,1029.47,1305.08,1137.93,1196.43,5906.6,932.228,3010.99,980.018,652.458,6817.65,1524.07,7212.75,6977.21,2238.21
forest,7827.15,7054.06,2007.17,6148.66,5519.84,4054.8,6271.08,3231.5,6789.61,6490.61,6568.14,777.646,2358.46,998.001,7827.15,2392.96,714.896,3966.11,7525.53,6024.95,3686.78,3593,2880.05,406.682,5345.74,6796.14,2424.01,1123.1
forest,6860.74,5848.66,3480.25,635.333,4173.11,3010.6,4041.53,3700.65,4113.57,5512.24,6127.26,468.461,2689.93,5077.78,3813.36,5872.24,962.428,5408.03,6860.74,5774.32,3403.91,3184.58,3113.67,576.318,3433.93,4123.89,3032.37,1057.87
forest,7924.79,6465.37,4954.49,7697.27,7022.68,5061.43,7036.44,6898.36,6983.54,4556.65,1543.57,1146.32,917.895,6871.25,4843.57,6399.6,477.188,4863.95,7924.79,2066.66,3946.83,703.013,4846.91,927.992,862.927,7119.73,5310.76,495.564
forest,7923.24,7515.23,7639.02,349.068,6024.01,5550.23,7831.19,7467.24,3638.3,7923.24,6531.17,409.012,1015.88,1769.28,4263.27,1701.25,667.195,5532.91,6322.96,6757.17,3749.94,6493.8,6499.06,2944.75,3893.31,7798.32,6560.03,579.203
forest,8208.54,7707.42,8208.54,8108.99,7773.41,2838.32,6971.25,4334.76,5133.9,7686.44,7642.31,1199.92,3891.85,631.467,7538.83,3826.23,543.94,2341.11,7921.51,472.371,4249.2,4035.92,1475.71,918.666,7213.84,7339.2,2560.61,480.882
forest,8236.33,3302.2,7929.72,2642.46,7386.58,7296.63,7647.62,474.128,7846.92,4143.56,7502.83,6358.51,8236.33,7147.22,7392.26,7410.59,1161.73,2769.86,8116.86,4307.23,3224.2,533.555,5267.66,1245.71,4798.59,7612.59,3669.54,4496.7
forest,7818.1,4869.45,7548.28,1506.27,6820.3,6631.89,2304.32,6389.86,7187.53,7149.32,6877.17,516.788,4229.63,5151.21,7813.46,7174.85,888.252,4416.41,7818.1,1071.56,2892.18,5795.27,6578.04,1086.05,6935.92,6965.12,5577.87,746.343
forest,8352.39,7680.53,8352.39,8263.97,6034.28,7456.57,7918.3,1376.45,4069.51,7756.32,6346.43,1635.7,1917.19,3234.27,6359.94,4757.5,559.721,2670.09,8061.71,1088.48,4783.21,5023.79,4652.38,1019.16,765.255,7703.33,927.528,2760.44
forest,8132.58,5650.24,8132.58,5813.44,6976.33,6662.52,4772.03,4733.18,7537.44,7619.22,4259.38,2054.14,6178.91,5629.16,8059.82,946.569,408.332,3739.72,7822.07,2506.46,3228.96,536.614,2839.11,5191.59,2288.19,7186.34,6581.7,4074.21
forest,8331.18,7829.81,8121.22,8139.6,7543.49,7124.54,7748.93,2295.95,7868.46,7938.73,7930.72,2332.46,8331.18,6594.04,6631.46,7666.44,769.851,1883.13,5867.1,796.346,2808.84,6117.46,1109.1,5871.4,640.156,7836.6,7942.38,2503.77
forest,8173.74,7824.41,8173.74,7994.11,2350.56,5779.29,7873.43,449.64,7891.82,7565.04,7659.66,5567.28,7913.46,1830.58,4861.99,5898.83,841.163,4502.59,7765.9,1081.96,3928.85,443.006,6488.28,4340.91,1390.02,7580,6664.04,991.229
forest,8113.65,3782.98,6994.32,6118.15,7210.74,7501.02,7569.5,7479.84,7893.93,7779.72,4473.57,569.389,7306.38,4866.86,8113.65,7341.9,492.05,1485.48,7966.09,6446,2850.26,6369,4835.75,4183.59,7580.37,7675.88,6525.7,516.712
forest,8074.26,7489.55,8074.26,1629.51,5169,7812.37,7940.09,1160.93,4928,7449.87,7707.65,3151.5,7808.74,6842.71,1238.87,7006.75,702.604,1423.26,7458.76,1912.3,3077.62,536.03,6366.1,925.303,6992.62,7580.74,7365.44,1241.27
forest,8303.56,1328.75,8078.6,2225.19,6161.29,1822.35,3363.02,7323.24,7883.29,7838.37,7867.29,881.564,8287.83,5516.43,8303.56,2239.67,402.922,5368.27,8215.89,1041,4143.94,739.759,7739.09,1267.91,3016.03,7533.22,783.393,939.001
forest,8345.08,7479.81,6377.46,467.38,6124.67,4664.05,6031.12,4724.79,2930.05,7680.05,7580.74,369.856,1087.94,5418.83,8345.08,5046.77,574.863,5625.47,4580.12,6897.59,1132.52,5029.94,3292.73,813.836,3399.7,7367.46,7742.1,928.291
forest,8017.21,5325.17,5942.03,1067.06,4642.26,3054.19,2704.3,7376.75,7361.23,5865.85,7640.02,626.111,7934.66,3424.71,4285.42,7577.44,412.654,3946.36,8017.21,4501.72,4420.36,2052.32,7588.88,807.647,7563.37,7704.02,3050.91,627.26
forest,6836.22,5962.2,3295.35,461.348,3655.65,2666.72,3461.02,2789.19,2774.21,4723.74,5666.47,484.458,1083.21,4897.29,4441.42,1914.33,1015.73,5145.84,6836.22,5900.54,3096.96,3101.32,2851.57,565.021,3358.13,3388.37,2945.47,674.091
forest,8036.96,5662.95,7809.87,940.988,6622.76,7582.28,7872.53,7513.29,7885.61,7863.22,7749.39,519.597,7167.78,2548.48,8033.2,4550.47,623.737,5400.54,8036.96,685.047,1063.09,1261.53,5493.64,1288.78,7614.33,7854.63,7602.84,516.4
forest,8212.1,5992.21,8212.1,5344.61,7550.8,7759.23,7826.74,4017.39,8104.49,936.732,8153.51,1486.93,7819.06,7573.84,7987.5,477.711,971.168,1377.31,2142.34,6910.99,3445.63,325.045,2010.59,981.751,4321.61,8097.5,6583.07,1173.29
forest,8173.67,3288.44,7423.02,7302.94,6658.59,6735.86,6877.7,3366.11,6544.89,5673.84,7541.78,721.938,8173.67,7005.27,5088.01,706.785,2505.52,1349.62,7675.97,4592.66,2450.8,398.106,508.69,6048.68,2716.37,6947.33,5786.04,4080.98
forest,8004.78,4570.19,7790.48,1113.04,2392.92,7125.86,7356.63,986.847,7583.18,7611.82,7513.44,2692.9,8004.78,6904.76,4281.8,7480.34,779.4,4340.43,6131.13,3137.39,3452.77,646.702,3118.83,1070.03,1621.38,6951.52,3772.4,1399.29
forest,8318.15,7748.55,7884.44,3509,6834.22,6541.97,7051,1373.47,7403.58,6870.2,7595.58,1718.17,8174.11,4779.58,8318.15,838.967,436.615,2023.42,7841.73,3052.01,2972.04,1708.54,6350.9,2068.58,4538.92,7101.01,5273.76,4615.16
forest,7809.22,1342.58,7702.64,5575.52,7446.18,7494.5,7809.22,7031.86,7733.34,7699.93,7768.28,4499.61,6176.55,7021.96,7292.78,1558.87,921.951,4062.6,5179.34,5711.26,3386.05,572.96,2852.04,3104.8,5768.55,7724.63,6809.04,7704.61
forest,7848.57,7342.77,7383.87,605.771,2299,995.501,5829.94,5794.18,6727.27,7087.04,5165.27,624.052,7848.57,6206.43,2232.95,4783.11,1613.99,5916.88,7662.99,6749.41,3755.22,4743.6,853.362,3460.93,1943.3,6739.19,3497.31,859.14
forest,8063.08,7535.51,7427.8,5722.38,5175.1,6807.22,5659.22,5262.39,6520.86,7769.87,7738.86,2291.87,8063.08,7256.68,7350.62,7117.44,1093.02,1527.22,2134.22,2939.06,3043.37,1381.6,2532.68,387.862,5377.07,7309.82,7519.83,5594.64
forest,8135.17,1903.5,7987.94,8135.17,7721.08,7798.22,7990.15,7586.73,8091.93,7937.51,8061.24,1818.27,2510.28,2073.96,5910.36,5593.41,586.603,955.855,8080.13,173.963,3513.36,1051.22,2029.24,6121.42,3890.5,8014.79,8010.49,552.864
forest,8264.86,6400.51,7901.78,7979.03,7543.27,7405.79,2733.26,6038.37,7787.69,7566.92,6486.21,1661.76,8264.86,3258.09,6207.9,4074.36,518.231,2077.73,8073.4,1089.6,4372.13,5685.04,5704.53,704.973,688.515,7522,4467.22,1364.4
forest,7500.47,1310.42,6862.28,771.248,2076.35,6564.6,6029.73,1814.31,7302.39,7500.47,1709.27,2331.85,6295.56,7011.16,7363.9,595.147,647.004,1401.12,2426.23,227.257,2667.41,1349.19,645.089,2215.95,4976.82,7205.01,2009.49,544.687
forest,8223.25,6688.17,5530.47,5830.49,480.198,6389.66,8223.25,875.517,7899.28,7492.63,7168.52,917.216,2521.47,3214.66,7957.06,7485.49,821.071,4744.52,8046.35,4882.48,4338.31,2082.68,6352.73,314.481,1710.16,7877.32,831.09,1082.61
forest,8059.39,6503.44,8047.32,8059.39,7778.93,7701.59,7847.73,3455.12,5071.5,6856.46,7521.22,698.05,8034.25,6202.09,1831.42,1662.37,1594.25,1663.74,6194.93,3471.07,3711.03,396.769,2460.78,2132.32,6822.39,7593.54,6470.59,5413.14
forest,8100.8,5949.83,5730.9,2790.27,4711.38,5029.61,5165.26,432.263,2738.59,6559.93,3952.24,1269.71,7793.7,3155.12,8100.8,1421.43,684.555,3818.74,7002.96,5024.53,2587.93,768.535,3935.3,1188.71,4009.48,5189.06,5774.46,3600.45
forest,8214.71,5785.77,7302.93,7385.73,5751.39,5904.12,6415.91,4913.19,5474.14,5508.61,3579.58,876.864,8214.71,7679.61,2793.19,947.407,562.814,5098.07,7329.85,4214.25,2177.45,1514.65,1979.47,6221.79,1422.19,6964.42,1642.63,756.693
forest,8408.5,5635.27,8178.03,7367.91,7370.72,7659.09,7817.3,560.823,5092.56,7641.85,7899.4,5537.53,8408.5,7666.08,1680.89,7778.9,696.19,4223.09,7946.87,6717.36,1951.33,3157.64,6681.39,1973.32,3533.06,7519.83,646.436,549.838
forest,8438.12,1401.78,8438.12,6657.84,4533.15,5305.27,8141.08,4764.98,5997.15,7674.25,7152.35,871.198,1599.26,2816.44,8133.64,5313.62,388.334,1356.68,8259.66,6758.33,4701.1,654.7,6556.25,1403.45,2004.66,7753,872.409,983.527
forest,6397.77,3166.31,2654.17,2117.82,2505.56,1959.71,2775.24,3372.97,3864.44,3796.16,4479.68,569.286,1649.14,3353.72,5108.64,5579.53,1023.51,3701.84,3883.37,3900.7,2282.04,2886.33,3281.64,535.925,3017.51,6366.46,6397.77,870.662
forest,8036.67,7539.53,7456.19,7454.87,4825.33,753.379,5942.44,1422.21,6696.41,7091.81,1868.53,1010.29,1046.81,5325.4,5887.69,5960.3,575.423,4664.8,8036.67,6020.35,4350.72,1065.41,683.027,915.703,5442.78,6375.97,6541.47,1188.4
forest,8419.04,7806.53,4019.08,8419.04,8148.88,2159.59,8024.26,826.18,7110.12,7539.49,7326.47,6798.45,8129.85,6948.93,6358.55,3448.91,821.584,978.429,7644.16,516.073,3751.48,623.097,5880.34,1167.75,7330.3,7506.06,6538.64,504.231
forest,7895.82,7335.01,5418.3,894.008,5138.02,7342.23,7727.06,7236.35,7735.07,7394.86,1732.26,687.24,7621.4,6504.81,7895.82,7080.17,429.482,3172.48,5419.59,5154.79,3466.06,6242.46,4886.23,1215.9,7415.47,7607.04,7271.91,458.043
forest,8308.02,7121.93,8308.02,750.015,7931.94,7790.89,1410.99,1548.84,7954.67,7778.29,7689.42,504.706,8139.84,4775.62,8055.73,7372.64,598.787,1674.32,7996.07,227.787,2286.42,346.993,5347.06,1019.87,7459.2,7869.91,7631.01,3010.65
forest,7721.96,6390.53,4553.59,5514.3,491.039,5356.62,7237.7,1259.4,7564.19,4836.46,6237.79,872.14,5978.4,6962.31,7530.3,6198.77,781.808,3986.76,5259.05,4671,3321.99,1077.42,6066.63,472.269,1839.48,7721.96,610.411,1193.36
forest,8024.29,7426.45,7775.02,5465.29,3534.26,5874.64,2481.61,3467.48,2528.96,5152.53,7534.88,912.827,4157.63,7240.42,7174.44,7561.3,558.945,2592.4,8024.29,4746.25,3458.3,5170.09,5323.76,856.349,6596.54,6689.24,7154.26,1465.88
forest,8124.61,7548.09,8124.61,6899.73,6685.1,874.637,3573.92,1606.82,1189.41,7913.74,2914.38,879.852,5586.21,7607.71,7475.03,5886.23,669.908,4501.78,7896.11,6139.39,3777.65,1533.34,691.134,2235.61,5915.58,7496.58,6360.19,4077.43
forest,8270.43,5491.48,3772.57,819.492,3259.76,2994.88,5187.21,6236.31,7120.64,7425.92,7690.69,1065.55,609.784,7351.78,5632.5,6041.5,521.481,4234.31,8270.43,6410.19,3325.85,4592.19,3478.29,928.359,6104.06,7038.63,4979.13,768.391
forest,8182.43,1873.59,8178.84,756.203,2864.67,6491.83,8056.91,1786.63,6646.86,8059.48,7896.31,787.549,8182.43,6282.46,6897.35,7457.5,534.219,2950.81,7975.09,880.485,2400.5,878.469,2550.22,1656.65,3207.49,7875.3,1304.54,1159.57
forest,8300,6404.65,7814.99,896.486,7544.45,7559.03,7729.49,1134.48,7612.51,2155.06,7783.03,2661.6,8170.73,4685.41,6533.36,7682.63,677.534,3873.36,8300,3694.15,2423.56,1177.33,4267.79,7360.78,2492.02,7518.47,3701.13,5207.73
forest,8091.45,7267.27,7738.46,605.593,6992.98,7080.75,7440.9,7166.78,6699.81,7675.61,7561.72,537.045,2156.04,4989.9,8091.45,6105.08,589.834,5460.82,7905.94,745.292,2109.4,2694.55,5338.59,1303.75,7211.21,7487.31,7245.7,490.477
forest,7482.17,6865.81,2316.39,5571.99,5581.64,4125.67,6944.96,3565.6,6724.8,4424.88,6125.91,754.106,1828.51,922.39,7482.17,1755.24,725.693,4283.1,7361.72,5955.14,4081.83,4474.36,4820.02,388.001,4210.47,6547.96,1878.26,932.067
forest,7724.75,1122.24,7035.83,3540.16,5725.4,6048.91,6529.57,5001.59,7072.53,7213.65,7173.79,433.141,7469.23,2251.17,7665.55,1339.01,429.704,1249.28,7724.75,195.119,968.509,1402.03,5849,4167.63,6226.04,6878.73,6570.04,4199.55
forest,8245.61,2109.74,7936.35,6815.13,6449.39,6083.8,7118.76,6109.36,7541.7,7871.96,6140.04,1083.54,8245.61,4863.06,5724.1,1393.85,640.828,4028.95,7889.86,6540.95,3273.44,1218.67,6117.14,3189.56,7294.27,7386.36,1111.46,2241.46
forest,8068.28,7087.18,8068.28,4458.22,950.39,6093.41,6119.39,3129.65,750.028,7081.55,6951.79,1533.99,5554.58,6591.4,7049.21,1498.6,510.691,4896,5797.28,3209.57,3619.53,612.669,4310.79,1511.01,4305.68,5687.91,3488.32,5960.33
forest,8196.08,4385.7,5455.37,4175.65,3457.89,5686.2,5808.83,1164.9,3584.09,7038.47,5188.9,3554.88,8196.08,6172.85,2166.41,3889.57,552.183,3084.65,5128.59,5821.68,1871.38,3189.74,1097.21,6232.32,7444.63,7572.76,2023.47,412.455
forest,8198.17,1775.53,7160.08,369.996,1262.17,4914.46,2902.48,1374.62,7354.62,7338.41,7423.25,580.906,1973.27,7233.73,8198.17,3814.02,523.541,3476.58,7633.6,777.428,1751.74,1064.94,6067.75,859.589,3775.38,6940.76,4640.51,2009.68
forest,7873.59,4254.56,6489.02,443.079,644.877,5492.42,4494.12,6338.82,7523.64,7674.42,7675.03,628.745,6431.69,5634.81,6110.42,7606.58,441.791,5065.14,7873.59,5731.56,3904.18,4334.11,1141.95,756.899,6585.78,7191.86,6578.39,625.132
forest,8332.22,6440.08,7389.08,1056.25,7011.23,1735.13,7418.03,7198.14,7685.01,7793.41,7737.96,713,7992.42,6616.82,8332.22,7620.63,646.236,4945.16,3183.62,6510.94,3703.68,6117.42,7121.05,937.321,5191.96,7882.63,7692.47,495.832
forest,7991.94,7705.21,7958.43,7309.73,7187.47,4987.52,7496.41,1570.49,1243.92,6723.49,6030.09,1403.16,988.394,2647.37,7989.14,971.848,582.115,4205.8,7991.94,367.974,4170.93,4332.62,2587,841.271,6480.62,7642.76,2001.68,944.567
forest,8307.99,7819.35,8160.99,8168.35,7738.26,7611.13,7996.35,963.354,7985.64,8030.03,8100.45,2957.26,8307.99,7355.31,4733.11,5558.05,696.248,1425.57,4017.06,516.519,2565.69,6163.02,1434.33,6608.73,2127.67,7873.97,7188.34,1677.98
forest,8265.68,7443.41,8139.08,8094.94,7432.66,7392.07,7792.63,796.566,2175.46,7746.26,5787.56,1432.6,8265.68,5371.6,7852.6,6215.51,869.613,4109.08,5938.06,6100.54,4122.43,1079.62,3687.23,2302.54,1206.92,7659.05,7246.7,1493.99
forest,8113.17,7747.05,8113.17,8066.89,7989.14,7848.99,7624.35,690.411,2657.04,7483.1,7939.97,1592.11,2756.27,5669.72,7028.1,6827.21,956.98,1283.32,7806.27,4701.05,4009.13,519.093,3848.6,6214.1,5712.52,7998.52,6728.4,862.269
forest,7627.09,5152.24,6740.54,6517.42,5697.35,4665.39,4960.06,1242.96,4733.03,5958.9,6485.35,1937,6072.58,4200.54,7627.09,4839.37,595.959,1922.12,6563.1,683.047,3314.85,2614.57,598.016,471.481,3853.18,4491.15,4354.39,459.555
forest,8007.46,1331.83,6948.8,4923.79,4012.74,6408.59,7058.29,2800.75,7508.71,3966.53,7471.86,1545.67,8007.46,7078.27,7690.02,4113.13,2497.75,2462.87,2174.54,4360.92,1759,364.845,2741.34,4239.09,4429.75,6867.95,1014.6,3348.18
forest,7831.28,6247.78,7585.36,4803.3,5073.39,5131.72,3925.58,3277.57,6539.24,6786.45,6978.9,468.92,7450.8,2716.4,7831.28,7238.61,627.204,4575.94,7111.93,5872.97,2998.91,4401.13,5227.04,727.922,6058.47,6356.55,3907.55,536.698
forest,8283.19,7184.84,7814.13,494.411,2737.32,819.774,7071.06,6744.19,5105.64,7459.25,3991.52,641.08,7906.01,5406.42,2965.78,1304.72,3143.09,5263.16,8283.19,7264.21,4124.4,5542.69,6422.6,4580.61,2078.66,6938.69,6155.29,597.862
forest,8211.24,1464.31,8211.24,5070.66,4941.59,7790.45,7972.43,7237.79,6450.04,7424.23,7216.48,957.027,7590.15,4533.55,3437.53,4538.57,837.903,1020.96,7672.91,634.543,2163.99,1940.15,1001.48,6019.56,7242.4,7480.3,7091.59,3375.99
